"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Antrim,Warner,051150,0,,ALBA PUBLIC SCHOOLS,05010,22.1352,22.1352,39.9939
Antrim,Warner,051150,0,,BOYNE CITY PUBLIC SCH DIST,15020,26.5761,26.5761,44.5761
Antrim,Warner,051150,0,,BOYNE FALLS PUBLIC SCH DIST,15030,25.3853,25.3853,43.3853
Antrim,Warner,051150,0,,GAYLORD COMMUNITY SCHOOLS,69020,22.3570,22.3570,40.3480
Arenac,Adams,061010,0,,STANDISH STERLING COMM S/D,06050,26.3164,27.3164,45.3164
Arenac,Arenac,061020,0,,AU GRES SIMS SCHOOL DISTRICT,06020,27.6976,27.6976,45.6976
Arenac,Arenac,061020,0,,STANDISH STERLING COMM S/D,06050,28.2976,28.2976,46.2976
Arenac,Au Gres,061030,0,,AU GRES SIMS SCHOOL DISTRICT,06020,31.1394,31.1394,49.1394
Arenac,Clayton,061040,0,,STANDISH STERLING COMM S/D,06050,27.2958,28.2958,46.2958
Arenac,Clayton,061040,0,,WHITTEMORE PRESCOTT AREA S/D,35040,24.5949,25.5949,43.5949
Arenac,Deep River,061050,0,,STANDISH STERLING COMM S/D,06050,28.3093,29.3093,47.3093
Arenac,Deep River,061050,0,STERLING,STANDISH STERLING COMM S/D,06050,40.3731,41.3731,59.3731
Arenac,Lincoln,061060,0,,STANDISH STERLING COMM S/D,06050,27.3164,28.3164,46.3164
Arenac,Mason,061070,0,,STANDISH STERLING COMM S/D,06050,27.2790,27.2790,45.2790
Arenac,Mason,061070,0,TWINING,STANDISH STERLING COMM S/D,06050,40.8572,40.8572,58.8572
Arenac,Mason,061070,0,,WHITTEMORE PRESCOTT AREA S/D,35040,24.5781,24.5781,42.5781
Arenac,Moffatt,061080,0,,STANDISH STERLING COMM S/D,06050,30.2790,30.2790,48.2790
Arenac,Sims,061090,0,,AU GRES SIMS SCHOOL DISTRICT,06020,28.6509,29.1509,47.1509
Arenac,Standish,061100,0,,STANDISH STERLING COMM S/D,06050,27.3074,28.3074,46.3074
Arenac,Turner,061110,0,,AU GRES SIMS SCHOOL DISTRICT,06020,29.1894,29.1894,47.1894
Arenac,Turner,061110,0,TURNER,AU GRES SIMS SCHOOL DISTRICT,06020,41.9403,41.9403,59.9403
Arenac,Turner,061110,0,TWINING,AU GRES SIMS SCHOOL DISTRICT,06020,42.7676,42.7676,60.7676
Arenac,Whitney,061120,0,,AU GRES SIMS SCHOOL DISTRICT,06020,28.1678,28.1678,46.1678
Arenac,Whitney,061120,0,,TAWAS AREA SCHOOLS,35030,24.9058,24.9058,42.9058
Arenac,Au Gres,062010,1,,AU GRES SIMS SCHOOL DISTRICT,06020,42.4603,42.4603,60.4603
Arenac,Omer,062020,1,,STANDISH STERLING COMM S/D,06050,37.8838,37.8838,55.8838
Arenac,Standish,062030,1,,STANDISH STERLING COMM S/D,06050,43.1935,43.1935,61.1935
Baraga,Arvon,071010,0,,ARVON TOWNSHIP SCHOOL DIST,07010,24.7644,24.7644,37.7644
Baraga,Baraga,071020,0,,BARAGA AREA SCHOOL DISTRICT,07020,27.7764,27.7764,45.7584
Baraga,Baraga,071020,0,BARAGA,BARAGA AREA SCHOOL DISTRICT,07020,37.9324,37.9324,55.9144
Baraga,Covington,071030,0,,L'ANSE AREA SCHOOLS,07040,28.2494,28.2494,46.2494
Baraga,L'anse,071040,0,,L'ANSE AREA SCHOOLS,07040,27.7287,27.7287,45.7287
Baraga,L'anse,071040,0,L ANSE,L'ANSE AREA SCHOOLS,07040,41.8497,41.8497,59.8497
Baraga,Spurr,071050,0,,N.I.C.E. COMMUNITY SCHOOLS,52015,30.9152,30.9152,48.9152
Barry,Assyria,081010,0,,HASTINGS AREA SCHOOL DIST.,08030,22.7864,22.7864,40.4108
Barry,Assyria,081010,0,,PENNFIELD SCHOOL DISTRICT,13120,36.2296,36.2296,54.2296
Barry,Assyria,081010,0,,BELLEVUE COMM SCH DIST,23010,29.1429,29.1429,47.1429
Barry,Assyria,081010,0,,MAPLE VALLEY SCHOOL DISTRICT,23065,23.9391,23.9391,41.9391
Barry,Baltimore,081020,0,,DELTON KELLOGG SCHOOL DIST,08010,21.0423,21.0423,39.0423
Barry,Baltimore,081020,0,,HASTINGS AREA SCHOOL DIST.,08030,22.9267,22.9267,40.5511
